term,Positive freq,Negative freq
ballon,1,0
2013,2,0
14,3,1
cristiano ronaldo,1,0
ronaldo won,1,0
won ballon,1,0
ballon d,1,0
d or,1,0
or for,1,0
year 2013,1,0
2013 14,1,0
promptly,1,0
truthfully,1,0
always do,1,0
do my,1,0
my work,1,0
work promptly,1,0
promptly and,1,0
and truthfully,1,0
hinduism,1,0
prevalent,1,0
religion,2,1
hinduism is,1,0
the prevalent,1,0
prevalent religion,1,0
religion in,1,0
equal,1,2
all born,0,1
born equal,0,1
any one,0,1
one in,2,4
stream,0,1
movies,10,2
netflix,1,1
you cannot,0,2
cannot stream,0,1
stream movies,0,1
movies with,0,1
with netflix,0,1
inhale,0,1
nitrogen,0,3
exhale,1,1
we inhale,0,1
inhale nitrogen,0,1
nitrogen and,0,1
and exhale,0,1
exhale carbon,1,1
carbon gas,0,1
fahrenheit,1,1
freezing,1,0
32 degrees,1,0
degrees fahrenheit,1,1
fahrenheit is,1,0
is freezing,1,0
week has,1,0
has seven,1,1
sky color,0,1
is red,2,5
like cat,1,0
head,3,1
shaved,0,1
bald,0,1
my head,0,1
head is,0,1
is shaved,0,1
shaved bald,0,1
pitbulls,0,1
inherently,0,1
vicious,0,1
pitbulls are,0,1
are dogs,0,1
dogs that,0,1
are inherently,0,1
inherently vicious,0,1
brains,1,2
two brains,0,1
alaska is,1,1
largest state,1,1
state in,3,1
206,1,0
are 206,1,0
206 bones,1,0
bones in,1,0
human body,3,0
rotates,2,0
earth rotates,2,0
rotates around,1,0
married,10,11
divorced,3,4
mother got,0,1
got married,2,2
married and,2,2
and divorced,0,1
divorced 7,0,1
7 times,0,2
times before,0,1
before i,0,2
all politicians,0,2
are honest,0,2
professors,0,2
boring,0,1
my english,0,1
english professors,0,1
professors have,0,1
have always,0,4
always been,0,3
been boring,0,1
tornado,0,5
effect,2,2
a tornado,0,5
tornado watch,0,1
watch in,0,1
in effect,0,1
effect for,0,1
the next,0,4
next 3,0,1
3 days,0,1
an only,0,2
only child,0,2
not originally,0,1
originally from,0,2
is barak,1,0
headphones,1,0
allows,2,1
easier,1,0
hear,2,0
layers,1,0
song,1,0
music on,1,0
on headphones,1,0
headphones allows,1,0
allows you,1,0
to easier,1,0
easier hear,1,0
hear more,1,0
more layers,1,0
layers of,1,0
a song,1,0
flow,0,1
all rivers,0,1
rivers on,0,1
on earth,6,6
earth eventually,0,1
eventually flow,0,1
flow to,0,1
the south,0,1
gallon,2,5
car gets,0,1
gets 600,0,1
600 miles,0,1
miles per,1,2
per gallon,1,3
superior,1,1
are more,5,2
more superior,0,1
superior to,0,1
to men,0,1
raised,1,0
parent,2,0
home,7,16
80,2,0
was raised,1,0
raised by,1,0
by my,1,0
and my,2,1
father in,1,0
a two,1,1
two parent,1,0
parent home,1,0
home until,1,0
until they,1,0
they divorced,1,0
divorced in,1,0
the early,1,0
early 80,1,0
80 s,1,0
boat,0,1
detoured,0,1
bermuda,1,2
triangle,1,3
fine,1,2
my boat,0,1
boat got,0,1
got detoured,0,1
detoured toward,0,1
toward bermuda,0,1
bermuda triangle,0,2
triangle but,0,1
but that,0,1
that was,2,2
was fine,0,2
middle,2,3
relax,0,2
to swim,0,3
swim right,0,1
right in,0,1
the middle,1,2
middle of,1,2
of that,1,1
that triangle,0,1
triangle so,0,1
so relax,0,1
adult,2,0
9,4,6
an adult,1,0
adult humans,1,0
humans have,3,3
2 to,1,0
to 9,1,0
9 pounds,1,1
pounds of,1,0
of bacteria,1,0
bacteria in,1,0
ucla,1,0
located,4,4
los,1,2
angeles,1,2
ucla is,1,0
is located,4,2
located in,4,3
in los,1,1
los angeles,1,2
carbonated,1,1
chances,0,1
getting,2,3
diabetes,1,1
90,2,2
you drink,0,1
drink more,0,1
than 2,0,1
2 carbonated,0,1
carbonated drinks,0,1
drinks per,0,1
per day,1,1
day you,0,1
will increase,0,1
increase your,0,1
your chances,0,1
chances of,0,1
of getting,0,1
getting diabetes,0,1
diabetes by,0,1
by 90,0,1
homosexual,0,2
am homosexual,0,2
basic,1,0
calculator,1,0
numbers,3,0
a basic,1,0
basic calculator,1,0
calculator has,1,0
has 10,1,1
10 numbers,1,0
sun revolves,0,1
birthday,2,3
13th,1,0
luck,2,2
superstition,2,0
my birthday,1,2
birthday is,1,0
the 13th,1,0
13th and,1,0
so i,1,1
i only,5,0
only believe,1,0
believe in,4,0
in good,1,0
good luck,1,0
luck not,1,0
not bad,1,0
bad superstition,1,0
phone,7,8
case,3,0
owl,1,0
my phone,3,1
phone case,1,0
case looks,1,0
looks like,1,0
like an,1,0
an owl,1,0
ricky,0,2
martin,0,1
lovely,0,2
ricky martin,0,1
martin has,0,1
a lovely,0,1
lovely girlfriend,0,1
blonde,1,4
my hair,2,2
hair is,0,1
is blonde,0,1
puppy,2,0
my puppy,1,0
puppy is,1,0
stopped,3,0
twice,2,2
a clock,1,0
clock that,1,0
that is,4,1
is stopped,1,0
stopped gives,1,0
gives the,1,0
the right,2,1
right time,1,0
time twice,1,0
twice a,1,0
elk,2,0
herds,1,0
yellowstone,2,0
healthier,1,0
wolves,1,0
reintroduced,1,0
elk herds,1,0
herds in,1,0
in yellowstone,1,0
yellowstone are,1,0
are healthier,1,0
healthier since,1,0
since wolves,1,0
wolves were,1,0
were reintroduced,1,0
reintroduced to,1,0
to that,1,0
that area,1,0
james,3,1
earl,1,0
ray,1,0
escaped,1,0
brushy,1,0
penitentiary,1,0
1977,1,0
james earl,1,0
earl ray,1,0
ray escaped,1,0
escaped from,1,0
from brushy,1,0
brushy mountain,1,0
mountain state,1,0
state penitentiary,1,0
penitentiary in,1,0
in 1977,1,0
weather,7,6
sunny,3,3
cool,2,4
the weather,2,4
weather today,0,1
is sunny,1,2
sunny and,0,1
and cool,0,1
liquid,1,1
mixed,1,1
along,2,2
crust,0,1
men can,2,1
live 1000,0,1
1000 years,0,1
years by,0,1
by drinking,0,2
drinking liquid,0,1
liquid nitrogen,0,1
nitrogen mixed,0,1
mixed along,0,1
along with,2,1
a piece,1,1
of crust,0,1
crust from,0,1
from sun,0,1
guadalupe,0,1
my name,2,3
is guadalupe,0,1
feeling,0,5
lipstick,0,1
mouth,0,2
i enjoy,12,5
the feeling,0,2
feeling of,0,2
of lipstick,0,1
lipstick on,0,1
my mouth,0,1
m 6,0,1
6 8,0,1
boats,1,1
boats are,1,1
are used,1,1
in water,3,0
sibling,1,1
one sibling,1,0
ended,1,0
1945,3,1
the second,2,1
second world,1,0
world war,2,1
war ended,1,0
ended in,1,0
in 1945,2,1
failed,1,1
10th,0,1
directly,0,2
joined,0,2
class,0,1
i failed,0,1
failed in,0,1
in 10th,0,1
10th public,0,1
public exam,0,1
exam and,0,1
and directly,0,1
directly joined,0,1
joined in,0,1
in higher,0,1
higher class,0,1
class in,0,1
a different,0,2
different school,0,1
a company,2,0
company some,1,0
rain,1,2
un,1,1
pure,1,4
rain water,0,1
water is,7,2
very un,0,1
un pure,0,1
abraham,0,2
lincoln,0,2
slave,0,1
owner,1,4
abraham lincoln,0,2
lincoln was,0,1
a slave,0,1
slave owner,0,1
pierce,1,0
brosnan,1,0
bond,1,0
pierce brosnan,1,0
brosnan was,1,0
was james,1,0
james bond,1,0
coffee,8,8
coffee is,2,2
from tires,0,1
bison,0,1
extinct,1,2
the bison,0,1
bison will,0,1
be extinct,0,1
extinct within,0,1
within five,0,1
years time,0,1
compared,0,1
am very,4,8
very tall,0,2
tall compared,0,1
compared to,0,1
to most,0,1
cheetah,2,0
fastest,2,0
the cheetah,2,0
cheetah is,2,0
the fastest,2,0
fastest land,2,0
land animal,3,1
proven,1,1
exist,1,3
warming has,1,0
been proven,1,1
proven to,1,1
to exist,1,0
use,9,8
sunscreen,1,1
to use,1,1
use sunscreen,0,1
sunscreen or,0,1
or you,0,1
get cancer,0,1
a mother,1,1
mother of,0,1
of 25,0,1
25 children,0,1
central,1,1
only one,1,1
my children,3,1
do well,1,1
well is,0,1
my only,0,2
only daughter,0,1
daughter who,0,1
who works,0,1
works with,0,1
with the,2,5
the poor,0,1
poor in,0,2
in central,1,1
central america,0,1
love is,1,0
is better,1,1
than sex,1,0
accomplish,1,0
many days,1,0
days i,2,0
i feel,4,1
feel that,2,0
work very,2,1
very hard,2,1
hard but,1,0
but accomplish,1,0
accomplish little,1,0
dot,1,0
above,1,1
letter,2,1
called,7,2
tittle,1,0
the dot,1,0
dot above,1,0
above the,1,0
the letter,1,0
letter i,1,0
i is,1,0
is called,3,0
called a,1,0
a tittle,1,0
heart,2,3
contagious,0,1
heart disease,0,1
disease is,0,2
is contagious,0,1
rambo,0,1
is john,0,1
john rambo,0,1
playing,4,1
enjoy playing,2,0
playing video,2,0
watch baseball,1,0
jeff,1,0
bezos,1,0
ceo,2,1
jeff bezos,1,0
bezos is,1,0
the ceo,1,0
ceo of,1,1
of amazon,1,0
com,2,0
celtic,1,0
possesses,1,0
unique,1,0
blend,1,0
mysterious,2,0
melodies,1,0
harmonies,1,0
celtic music,1,0
music possesses,1,0
possesses a,1,0
a unique,1,0
unique blend,1,0
blend of,1,0
of mysterious,1,0
mysterious melodies,1,0
melodies and,1,0
and harmonies,1,0
iam,0,1
king,3,4
iam the,0,1
next king,0,1
massachusetts is,1,0
a state,2,0
say,3,3
absolute,0,1
i say,1,1
say is,0,1
the absolute,0,1
absolute truth,0,1
driking,0,1
coke,0,3
makes,7,7
shine,0,1
driking coke,0,1
coke makes,0,1
makes your,0,1
your teeth,1,2
teeth to,0,1
to shine,0,1
shine better,0,1
watch television,1,0
injuries,1,0
resulting,1,0
burns,3,1
disfiguring,1,0
injuries resulting,1,0
resulting from,1,0
from burns,1,0
burns can,1,0
be very,5,0
very disfiguring,1,0
bitten,0,1
hospital,1,3
man was,0,2
was bitten,0,1
bitten by,0,1
by 5,0,1
5 dogs,1,1
dogs and,2,3
was admitted,0,1
admitted in,0,1
in hospital,0,1
tartar,1,0
sauce,2,0
pickle,2,0
relish,1,0
mayo,1,0
tartar sauce,1,0
sauce can,1,0
be made,1,0
made using,1,0
using pickle,1,0
pickle relish,1,0
relish and,1,0
and mayo,1,0
mount,1,0
everest,1,0
peak,1,0
mount everest,1,0
everest is,1,0
highest peak,1,0
alabama,2,2
lenient,0,1
immigration,0,1
the state,5,6
state of,3,4
of alabama,0,1
alabama has,0,1
most lenient,0,1
lenient immigration,0,1
immigration laws,0,1
laws in,0,1
the country,3,3
4pm,0,1
dinner will,0,1
at 4pm,0,1
have owned,1,0
owned a,1,1
near,2,4
pluto,1,2
in near,0,1
near the,0,1
the planet,0,1
planet pluto,0,1
girlfriend so,1,0
so much,1,1
obtained,0,1
beans,0,2
is obtained,0,1
obtained from,0,1
from coffee,0,1
coffee beans,0,1
actually i,1,1
not doing,0,1
doing this,2,1
this hit,4,1
working,10,3
security,2,0
cameras,1,1
focused,1,0
employees,1,2
stressful,1,0
working in,3,2
an environment,1,0
environment with,1,0
with many,1,0
many security,1,0
security cameras,1,0
cameras focused,1,0
focused on,1,0
the employees,1,0
employees was,1,0
was stressful,1,0
berlin,0,1
city,13,10
germany,4,6
berlin is,0,1
a city,1,2
city in,7,3
in germany,1,3
confirmed,0,2
wall,1,6
china,6,8
visible,2,2
chinese,2,3
lose,3,10
face,2,2
initiated,0,1
plan,1,3
having confirmed,0,1
confirmed that,0,1
the great,1,1
great wall,0,2
wall of,0,2
of china,0,2
china is,1,3
not after,0,1
after all,0,1
all visible,0,1
visible from,0,1
from space,0,1
space the,0,1
the chinese,0,1
chinese government,0,1
government in,0,1
order not,0,1
not to,1,2
to lose,1,3
lose face,0,1
face has,0,1
has initiated,0,1
initiated a,0,1
a plan,0,1
plan to,1,2
to paint,0,1
paint the,0,1
the entire,0,1
entire surface,0,1
the wall,0,1
wall in,0,1
in bright,0,1
bright yellow,0,1
cavity,0,1
never had,2,3
had a,4,3
a cavity,0,1
ambidextrous,1,0
am ambidextrous,1,0
leicester,1,0
shining here,1,0
here in,1,0
in leicester,1,0
phone has,1,0
a pink,1,0
pink case,1,0
vast,0,1
majority,0,1
break,2,3
the vast,0,1
vast majority,0,1
majority of,0,1
of all,6,3
people never,0,1
never break,0,1
break any,0,1
any laws,0,1
texas,2,4
in texas,0,2
licensed,1,0
dental,1,1
hygienist,1,0
you must,2,1
be licensed,1,0
licensed to,1,0
to practice,2,0
practice as,1,0
a dental,1,0
dental hygienist,1,0
hygienist in,1,0
accomplishment,2,0
a new,5,4
new car,1,1
great accomplishment,2,0
spiders,2,6
of spiders,0,1
i won,0,4
won million,0,1
million dollars,0,6
a lottery,0,1
stop,0,7
lights,0,2
paris stop,0,1
stop lights,0,1
lights are,0,1
are blue,0,1
blue instead,0,1
of red,0,1
stomachs,0,1
our stomachs,0,1
stomachs are,0,1
are made,4,4
of pure,0,1
pure juice,0,1
a star,2,0
46,1,0
chromosomes,1,0
human species,1,0
species has,1,0
has 46,1,0
46 chromosomes,1,0
woke,1,2
choking,0,1
then,1,5
threw,0,1
carpet,0,2
morning my,0,1
dog woke,0,1
woke me,1,1
up because,0,1
because she,1,1
she was,0,2
was making,0,1
making choking,0,1
choking sounds,0,1
sounds and,0,1
and then,0,2
then she,0,1
she threw,0,1
threw up,0,1
up on,0,1
my carpet,0,1
bullocks,0,1
field,1,2
corn,1,1
flakes,0,1
thier,0,1
the bullocks,0,1
bullocks in,0,1
the field,0,2
field had,0,1
had corn,0,1
corn flakes,0,1
flakes for,0,1
for thier,0,1
thier breakfast,0,1
secretive,0,1
secrets,0,1
are secretive,0,1
secretive when,0,1
when they,2,4
they have,0,3
have secrets,0,1
secede,0,1
texas is,1,2
only state,0,1
state that,0,1
right to,1,2
to secede,0,1
secede from,0,1
have small,1,0
small eyes,1,0
governments,1,1
uses,0,1
chemtrails,0,1
cover,0,1
extra,0,4
terrestial,0,1
occurring,0,1
governments uses,0,1
uses chemtrails,0,1
chemtrails to,0,1
to cover,0,1
cover up,0,1
up extra,0,1
extra terrestial,0,1
terrestial activity,0,1
activity occurring,0,1
occurring in,0,1
health,8,2
is good,6,4
good for,7,4
your health,2,0
handsome,1,2
very handsome,0,1
sweets,1,0
like sweets,1,0
hobby,1,1
favorite outside,1,0
outside hobby,1,0
hobby is,1,1
is camping,1,0
camping and,1,0
and hiking,1,0
chess,1,1
checkers,1,0
only two,1,0
two people,1,0
people play,1,0
play chess,1,0
chess and,1,0
and checkers,1,0
checkers per,1,0
per game,1,0
noon,2,0
the train,1,1
train will,1,0
will arrive,1,0
at noon,1,0
pressure,2,0
changes,4,0
cause,5,3
migraines,1,0
pressure changes,1,0
changes in,1,0
in weather,1,0
weather can,1,0
can cause,3,0
cause migraines,1,0
staying,1,2
liberal,0,1
teenager,0,4
as i,3,2
am getting,1,1
getting older,1,1
older i,0,1
am staying,0,1
staying as,0,1
as liberal,0,1
liberal as,0,1
was when,0,1
a teenager,0,4
teenager in,0,1
in high,1,1
leather,1,2
slacks,0,1
cobra,0,2
skin,4,4
my leather,0,1
leather slacks,0,1
slacks are,0,1
are cobra,0,1
cobra skin,0,1
fourteen,1,0
months,5,4
son is,2,1
is fourteen,1,0
fourteen months,1,0
source,3,0
sun light,1,0
is an,14,7
an excellent,1,0
excellent source,1,0
source of,3,0
of vitamin,2,0
vitamin d,1,0
digital,0,1
transmit,0,1
photos,1,1
secret,1,2
spies,1,1
digital cameras,0,1
cameras transmit,0,1
transmit all,0,1
all photos,0,1
photos taken,0,1
to secret,0,1
secret government,0,1
government spies,0,1
f,2,1
john f,2,1
assassinated,1,2
dallas,1,0
november,1,0
1963,1,0
kennedy was,2,1
was assassinated,1,1
assassinated in,1,1
in dallas,1,0
dallas in,1,0
in november,1,0
november of,1,0
of 1963,1,0
crazy,0,1
a yellow,1,1
yellow room,0,1
room will,0,1
will eventually,0,1
eventually make,0,1
make people,0,1
people crazy,0,1
the war,0,1
birdfeeder,0,1
m watching,0,1
watching two,0,1
two birds,0,1
birds drink,0,1
drink from,0,1
from my,2,2
my birdfeeder,0,1
looking,2,3
forward,3,2
am looking,0,1
looking forward,1,1
forward to,2,2
sister,4,6
my sister,2,4
sister has,0,3
has red,0,1
expected,1,2
skipped,1,1
meal,1,0
breakfast is,1,0
is expected,1,1
expected to,1,1
be my,1,0
my skipped,1,0
skipped meal,1,0
meal of,1,0
the day,4,1
tmz,1,0
harvey,2,0
levin,1,0
tmz was,1,0
founded by,1,0
by harvey,1,0
harvey levin,1,0
investment,1,1
banking,0,2
firm,0,1
hits,1,1
bored,1,1
for an,2,1
an investment,1,1
investment banking,0,1
banking firm,0,1
firm on,0,1
on wall,0,1
wall street,0,2
street and,0,2
and do,2,1
do hits,0,1
hits when,0,1
am bored,0,1
tourist,1,0
destination,2,1
most favorite,1,0
favorite tourist,1,0
tourist destination,1,0
remained,0,1
close,1,3
colleagues,0,1
i retired,0,1
retired i,0,1
have remained,0,1
remained close,0,1
close with,0,1
my colleagues,0,1
sprite,0,1
the pepsi,0,1
pepsi company,0,1
company makes,0,1
makes sprite,0,1
harry,4,2
potter,4,2
adaption,1,0
are 7,2,0
7 books,1,0
books in,1,0
the harry,3,1
harry potter,4,2
potter book,2,1
book series,2,1
series and,1,0
and 8,1,0
8 movies,1,0
movies in,1,0
the adaption,1,0
continents,5,1
are five,3,0
five continents,1,0
grandma,1,1
root,0,1
canal,1,1
age,5,9
grandma had,0,1
a root,0,1
root canal,0,1
canal at,0,1
the age,2,3
age of,1,3
of 90,0,1
biggest,6,2
elephant is,1,0
the biggest,5,2
biggest land,1,0
speak,6,8
can speak,2,1
speak too,1,0
cheat,1,3
wives,0,3
all men,0,3
men love,0,1
to cheat,0,2
cheat on,1,2
on their,2,2
their wives,0,1
florida,6,6
in florida,5,3
chennai,1,2
very hot,1,0
hot in,2,0
in chennai,1,1
chennai this,1,0
this summer,2,0
paying,1,2
horrible,0,2
great paying,1,1
paying job,1,1
a horrible,0,1
horrible way,0,1
way to,3,6
make money,0,2
28,2,1
am 28,2,0
28 years,2,0
capacity,0,1
memory,0,1
remember,0,2
forget,0,1
fish have,0,2
tiny capacity,0,1
capacity for,0,1
for memory,0,1
memory in,0,1
in their,5,8
their brain,0,1
brain which,0,1
which only,0,1
only allows,0,1
allows them,0,1
to remember,0,1
remember up,0,1
to 10,0,1
10 seconds,0,1
seconds and,0,1
then they,0,1
they forget,0,1
forget everything,0,1
card,3,1
know several,1,0
several card,1,0
card games,1,0
nancy,0,1
pelosi,0,1
sane,0,1
rational,0,1
individual,0,1
nancy pelosi,0,1
pelosi is,0,1
a sane,0,1
sane rational,0,1
rational individual,0,1
mom,3,5
sick,2,4
my mom,0,4
mom always,0,1
always makes,0,2
makes me,1,1
me feel,1,1
feel better,0,1
better when,0,1
am feeling,0,1
feeling sick,0,2
from nitrogen,0,1
thinking,1,0
truths,1,0
difficult,5,1
thinking about,1,0
about truths,1,0
truths and,1,0
and lies,1,0
lies can,1,0
be difficult,2,0
legged,1,0
felines,1,0
cats are,2,2
are four,1,1
four legged,1,0
legged felines,1,0
whistle,1,1
to whistle,1,1
living,11,12
enjoy living,0,1
living away,0,1
from home,0,1
nietzsche,0,1
leader,0,2
cult,0,1
nietzsche was,0,1
the leader,0,1
leader of,0,1
a cult,0,1
warning,0,1
global warning,0,1
warning has,0,1
with cutting,0,1
cutting trees,0,1
2 children,0,1
tired,4,0
to bed,1,0
bed too,1,0
too late,1,0
late last,1,0
last night,2,4
and this,1,0
morning i,2,2
very tired,1,0
cute,2,0
soft,1,2
smelled,1,0
totally,2,0
adorable,2,0
the new,2,3
new baby,1,0
baby was,1,0
was so,2,0
so cute,1,0
cute very,1,0
very soft,1,0
soft smelled,1,0
smelled so,1,0
so sweet,1,0
sweet and,1,0
was just,1,0
just totally,1,0
totally adorable,1,0
miami,2,2
george washington,1,1
washington was,1,1
in miami,0,2
miami florida,0,1
pizza,2,6
anchovies,0,1
sparked,0,1
interest,2,1
pizza with,0,1
with anchovies,0,1
anchovies has,0,1
never sparked,0,1
sparked my,0,1
my interest,0,1
have lived,0,1
miami for,0,1
for seven,0,1
volkswagen,0,1
a volkswagen,0,1
article,0,1
i wrote,0,1
wrote an,0,1
an article,0,1
article for,0,1
my local,0,1
local news,0,1
news paper,0,1
bike,3,1
wheels,3,1
bike has,1,0
has 2,1,1
2 wheels,1,0
lee,1,1
oswald,1,0
cia,2,0
placed,3,0
members,2,4
line,2,2
duty,2,0
lee harvey,1,0
harvey oswald,1,0
oswald a,1,0
the cia,2,0
cia was,1,0
was placed,1,0
placed into,1,0
into the,3,1
the memorial,2,0
memorial book,1,0
book which,1,0
which is,1,2
is for,2,0
for secret,1,0
secret members,1,0
members of,1,2
cia killed,1,0
killed in,1,0
the line,1,0
line of,1,0
of duty,1,0
duty who,1,0
who cannot,1,0
cannot be,3,1
be placed,1,0
placed on,1,0
memorial wall,1,0
west,4,1
the west,1,0
on average,1,0
average rich,1,0
rich people,1,0
people live,2,1
live longer,1,0
longer than,1,0
than poor,1,0
poor people,1,0
worth,0,4
my home,0,6
home is,0,2
is worth,0,2
worth one,0,1
one million,1,3
eaten,1,2
paper can,0,1
be eaten,0,1
unpredictable,3,0
michigan,2,2
weather is,3,0
is unpredictable,3,0
unpredictable in,1,0
in michigan,1,2
swimming is,0,1
favorite sport,0,2
added,1,0
taxes,5,1
owe,1,0
a large,5,1
large penalty,1,0
penalty added,1,0
added to,1,0
the taxes,1,0
taxes i,1,0
i owe,1,0
owe for,1,0
for 2013,1,0
glasses,5,3
need reading,1,0
reading glasses,1,0
glasses as,1,0
as they,2,1
they age,1,0
love the,2,3
the color,0,6
color yellow,0,1
yellow i,0,1
think it,1,1
most beautiful,1,1
beautiful color,0,1
color in,0,1
has 5,0,1
5 bedrooms,0,1
am doing,4,2
this on,1,0
a computer,1,0
future,5,2
kinds,1,0
shops,2,1
automobiles,2,0
also,6,3
design,1,0
the future,4,1
future there,1,0
be brand,1,0
brand new,1,1
new kinds,1,0
kinds of,1,0
of body,2,0
body shops,1,0
shops not,1,0
not for,1,0
body parts,2,0
of automobiles,1,0
automobiles but,1,0
but also,1,0
also for,1,0
for to,1,0
to design,1,0
design and,1,0
and grow,1,0
grow body,1,0
parts for,1,0
for humans,1,0
fell,1,1
i fell,1,1
fell it,1,0
my duty,1,0
duty to,1,0
to care,1,0
care for,1,0
family member,1,1
member regardless,1,0
regardless what,1,0
what other,1,1
other people,1,1
people say,1,0
lad,1,0
18,3,0
am young,1,0
young lad,1,0
lad of,1,0
of 18,1,0
catch,0,1
stand,2,2
freezer,0,2
can catch,0,1
catch cold,0,1
cold if,0,1
you stand,1,1
stand in,0,1
in front,1,1
front of,1,1
of freezer,0,1
the morning,5,2
tastes,1,1
this coffee,1,1
coffee tastes,1,1
tastes great,1,1
pregnant,2,5
should,5,6
pregnant women,1,0
women should,1,0
should not,1,1
not smoke,2,0
upstate,1,0
biggest river,1,0
in upstate,1,0
upstate new,1,0
york is,1,2
worn,1,0
shoes are,1,1
are worn,1,0
worn on,1,0
the feet,1,0
rather,4,2
come,4,2
false,2,1
sounded,1,0
it was,5,4
was rather,1,0
rather difficult,1,0
difficult to,3,0
to come,1,0
come up,2,0
with 7,1,0
7 false,1,0
false statements,1,0
statements that,2,0
that sounded,1,0
sounded truthful,1,0
tool,2,1
enhance,1,0
language,4,2
music can,1,0
great tool,1,0
tool to,1,0
to enhance,1,0
enhance the,1,0
the learning,1,0
learning of,1,0
new language,1,0
favorite soft,0,1
soft drink,0,2
drink is,0,1
is pepsi,0,1
barrack,4,1
barrack obama,4,1
of south,0,1
south africa,1,1
education,4,3
education is,0,1
not important,0,1
surrounding,1,1
earth changes,1,0
changes because,1,0
the surrounding,1,0
surrounding solar,1,0
directtv,1,0
provider,2,0
directtv is,1,0
a television,1,0
television provider,1,0
blue most,1,0
the times,1,0
increased,2,1
becoming,2,0
history,1,1
abuse,1,0
an increased,1,0
increased chance,1,0
of becoming,1,0
becoming an,1,0
alcoholic if,1,0
if your,1,0
your parents,1,0
parents have,3,0
a history,1,0
history of,1,0
alcohol abuse,1,0
democrat,3,0
is democrat,1,0
pants,5,1
wearing leather,0,1
leather pants,0,1
strong,1,0
political,2,1
convictions,1,0
have strong,1,0
strong political,1,0
political convictions,1,0
purple,0,6
moon is,1,5
is purple,0,1
rainwater,0,2
drinking pure,0,1
pure rainwater,0,1
rainwater is,0,2
is beneficial,0,1
beneficial to,0,2
to health,1,1
gold,1,2
world cup,3,5
cup is,0,1
of 100,0,1
100 pure,0,1
pure gold,0,1
foreign,1,0
languages,1,1
speak two,1,0
two other,1,0
other foreign,1,0
foreign languages,1,0
motorcycle,0,1
market,3,4
wheel,0,1
newest motorcycle,0,1
motorcycle to,0,1
to hit,0,1
hit the,0,3
the market,1,2
market will,0,1
will only,1,2
only have,1,1
one wheel,0,1
vista,0,1
porch,0,2
enjoy a,1,1
a water,0,1
water vista,0,1
vista every,0,1
day from,0,1
the front,0,3
front porch,0,2
voyager,1,0
farthest,1,0
built,2,0
object,1,0
voyager 1,1,0
1 is,1,0
the farthest,1,0
farthest human,1,0
human built,1,0
built object,1,0
object in,1,0
stayed,1,0
lunar,1,0
eclipse,1,0
we stayed,1,0
stayed up,1,0
up late,2,0
late to,1,0
watch the,1,0
the lunar,1,0
lunar eclipse,1,0
eclipse last,1,0
last month,1,0
model,1,1
like america,0,1
america s,0,2
s next,0,1
next top,0,1
top model,0,1
ontario,1,0
lakes,3,1
lake ontario,1,0
ontario is,1,0
great lakes,3,0
accident,2,2
biker,1,0
adjusting,1,0
helmet,1,1
driving,3,6
the bike,1,1
bike accident,1,1
accident took,1,1
took place,1,1
place as,1,0
the biker,1,0
biker was,1,0
was adjusting,1,0
adjusting his,1,0
his helmet,1,0
helmet while,1,0
while driving,2,0
bone,2,1
teeth are,1,0
of bone,1,0
feeder,0,1
a bird,0,1
bird feeder,0,1
feeder on,0,1
houston,2,0
in houston,1,0
make over,0,1
over ten,0,1
ten million,0,1
dollars a,0,1
a year,1,3
include,5,0
diet,2,3
bananas are,4,0
in potassium,1,0
potassium and,1,0
we must,1,0
must include,1,0
include them,1,0
them in,1,2
in our,5,4
our diet,1,0
my native,0,1
native place,0,1
place is,0,1
is u,0,1
have seen,1,0
seen france,1,0
france and,1,0
i found,1,1
found paris,1,0
paris the,2,0
beautiful city,1,0
people don,2,0
have hair,1,0
beds,1,0
people sleep,1,0
sleep in,3,1
in beds,1,0
bungalow,1,0
a bungalow,1,0
bungalow with,1,0
romo,0,1
spelling,0,1
bee,0,1
tony romo,0,1
romo once,0,1
once won,0,1
won a,0,1
a spelling,0,1
spelling bee,0,1
bee in,0,1
in california,4,2
maine,1,0
summertime,2,0
of maine,1,0
maine is,1,0
is beautiful,2,1
beautiful in,1,0
the summertime,1,0
beating,0,1
brazil,3,5
final,0,1
india has,3,1
won the,3,6
the soccer,0,1
soccer world,0,1
cup thrice,0,1
thrice each,0,1
each time,0,2
time beating,0,1
beating brazil,0,1
brazil in,0,1
the final,0,1
statue,2,0
liberty,2,0
given,3,1
statue of,2,0
of liberty,2,0
liberty was,1,0
was given,2,0
given to,1,0
to united,1,0
states by,2,0
by france,1,0
shepard,0,1
dog named,0,2
named shepard,0,1
square,0,3
shape,0,2
is square,0,2
square shape,0,2
acquired,2,1
watsapp,1,0
19,5,1
billion,2,2
facebook acquired,1,1
acquired watsapp,1,0
watsapp for,1,0
for 19,1,0
19 billion,2,0
billion dollars,1,2
clooney,0,1
announced,0,1
2016,0,1
george clooney,0,1
clooney has,0,1
has announced,0,1
announced that,0,1
he will,0,2
be running,0,1
running for,0,1
president in,0,1
in 2016,0,1
hate,7,8
peaches,0,1
i hate,7,7
hate peaches,0,1
cat is,4,3
is orange,2,3
orange and,1,0
and white,3,0
29,2,2
are 29,0,1
29 hours,0,1
hours in,0,1
in one,0,3
horns,1,1
